glat,glon,risk,count,fatals,fatal_ratio,route_risk
43.65,-79.415,0.277100449239082,7,0,0.0,0.2630878475052415
43.65,-79.41,0.23595893160000347,24,2,0.08333333333333333,0.3216235863165241
43.65,-79.405,0.3659780690922093,38,2,0.05263157894736842,0.46098527739736606
43.65,-79.4,0.4766919123610153,35,15,0.42857142857142855,0.7459125690681021
43.65,-79.395,0.4540302206142255,53,5,0.09433962264150944,0.6046273242650698
43.65,-79.39,0.46865399469111385,39,0,0.0,0.5261085594210876
43.65,-79.385,0.4849588080863609,117,6,0.05128205128205128,0.8003031574183699
43.65,-79.38,0.59071206914633,99,13,0.13131313131313133,0.8809108445852019
43.65,-79.375,0.5642329172832504,60,8,0.13333333333333333,0.7423015996144385
43.65,-79.37,0.38127293829523523,37,0,0.0,0.4437658872804266
43.65,-79.365,0.27625492550504566,36,4,0.1111111111111111,0.40726074476416374
43.65,-79.36,0.17118801659022848,2,0,0.0,0.15558600641815473
43.65,-79.355,0.30232168458722175,20,6,0.3,0.4812838875508365
43.65,-79.35000000000001,0.31777443477200973,18,9,0.5,0.593687462569901
43.65,-79.345,0.15024629362332545,21,0,0.0,0.19405351613249092
43.65,-79.34,0.13642534164964254,1,0,0.0,0.12221719341980206
43.65,-79.325,0.13347975204448304,3,0,0.0,0.12561863309150517
43.655,-79.60000000000001,0.10782481571001495,4,0,0.0,0.10618530067610746
43.655,-79.595,0.04974517272686378,1,0,0.0,0.046462810097487886
43.655,-79.58,0.45022475182224464,2,2,1.0,0.9238226933411571
43.655,-79.57000000000001,0.19255158791609628,2,0,0.0,0.17425676111863495
43.655,-79.565,0.1447630051064,12,0,0.0,0.16237052247278005
43.655,-79.56,0.0664642148987491,2,0,0.0,0.0640623382608636
43.655,-79.555,0.1472347686328662,6,0,0.0,0.1466034887502045
43.655,-79.55,0.10289655375173049,1,0,0.0,0.09291461265287047
43.655,-79.525,0.13508308997433915,4,2,0.5,0.3921936121747221
43.655,-79.52,0.3228519108139249,6,3,0.5,0.562270460229527
43.655,-79.515,0.11577005556775659,10,0,0.0,0.1310563045136945
43.655,-79.51,0.13764975620245154,1,1,1.0,0.647659002414691
43.655,-79.485,0.1768095380368012,10,2,0.2,0.28927628172268366
43.655,-79.48,0.12206349364014832,4,0,0.0,0.11862923426930608
43.655,-79.47,0.16760329401024815,2,0,0.0,0.15245312779317294
43.655,-79.465,0.0991863351846592,6,0,0.0,0.10461142192907434
43.655,-79.46000000000001,0.1648125360029396,10,3,0.3,0.33122864007337777
43.655,-79.455,0.2589657606803082,8,4,0.5,0.5124127214810521
43.655,-79.45,0.2595614217358289,48,6,0.125,0.4358088268827484
43.655,-79.44500000000001,0.20821519831189042,3,0,0.0,0.19093389164100247
43.655,-79.44,0.135480787519114,3,0,0.0,0.12736744380877302
43.655,-79.435,0.2425390289527171,27,5,0.18518518518518517,0.38974613223420435
43.655,-79.43,0.22156479033039492,14,2,0.14285714285714285,0.31037765700787256
43.655,-79.425,0.2353119188040755,26,6,0.23076923076923078,0.4043450901741257
43.655,-79.42,0.18332241525254359,18,0,0.0,0.21399686862157424
43.655,-79.415,0.3007670675702361,6,3,0.5,0.5429693478587599
43.655,-79.41,0.25674465704655525,36,7,0.19444444444444445,0.4339073334740641
43.655,-79.405,0.25104880862473844,38,0,0.0,0.33294400712535105
43.655,-79.4,0.35757172852869173,75,10,0.13333333333333333,0.6065075548327648
43.655,-79.395,0.4241000204812529,22,0,0.0,0.4363766426834316
43.655,-79.39,0.3241555663094658,48,0,0.0,0.4267145995576083
43.655,-79.385,0.3937495956294837,49,0,0.0,0.4905243750516103
43.655,-79.38,0.5024953715860231,64,7,0.109375,0.6877343134358437
43.655,-79.375,0.43170609039412966,61,2,0.03278688524590164,0.5767435558269509
43.655,-79.37,0.3709665311924256,17,0,0.0,0.37500111118169044
43.655,-79.365,0.26444771256072963,58,7,0.1206896551724138,0.4676977228188058
43.655,-79.36,0.27299283854736184,28,3,0.10714285714285714,0.37842600950975996
43.655,-79.355,0.23067221888280434,15,0,0.0,0.24641474661246057
43.655,-79.35000000000001,0.25384099030212404,21,0,0.0,0.28459039971143213
43.655,-79.345,0.20709948626482222,2,0,0.0,0.18697093878740773
43.655,-79.34,0.11865696468798173,13,0,0.0,0.14254294634375658
43.655,-79.33500000000001,0.1216512904613464,22,0,0.0,0.17205070384398746
43.660000000000004,-79.595,0.09215065573113357,4,0,0.0,0.09248682341133344
43.660000000000004,-79.58500000000001,0.22975462562034066,5,2,0.4,0.42548277372403537
43.660000000000004,-79.575,0.12198508125154603,1,0,0.0,0.10959708624804543
43.660000000000004,-79.57000000000001,0.1849481079760843,1,0,0.0,0.1646238048262362
43.660000000000004,-79.545,0.14742696108798345,6,0,0.0,0.14677145589998683
43.660000000000004,-79.54,0.20780734118234637,2,0,0.0,0.18758957063163592
43.660000000000004,-79.53,0.02556114725995944,3,0,0.0,0.03130285756804825
43.660000000000004,-79.52,0.16072729604035946,9,3,0.3333333333333333,0.3421495173562659
43.660000000000004,-79.515,0.14897848239696462,11,0,0.0,0.16306677789791701
43.660000000000004,-79.51,0.1618258715482559,8,0,0.0,0.16533117136671263
43.660000000000004,-79.49,0.097629197235801,9,0,0.0,0.11221417602151947
43.660000000000004,-79.485,0.051239765302336496,2,0,0.0,0.05075688668029094
43.660000000000004,-79.48,0.16985379113127563,4,0,0.0,0.16039570242715598
43.660000000000004,-79.47,0.08568576896986257,3,0,0.0,0.08384894390734472
43.660000000000004,-79.465,0.27995518754159593,3,0,0.0,0.25363126188363977
